Designator,Mid X,Mid Y,Rotation,Layer
R35,111.06,-116.5975,270.0,bottom
R36,108.56,-116.5975,270.0,bottom
R37,142.4725,-116.61,180.0,bottom
R38,142.4725,-118.91,180.0,bottom
R39,142.4725,-121.21,180.0,bottom
R4,98.66,-98.0975,90.0,bottom
R40,142.4725,-123.51,180.0,bottom
R41,142.4725,-114.31,180.0,bottom
R42,142.4725,-112.01,180.0,bottom
R43,146.06,-98.7225,270.0,bottom
R44,148.56,-98.7225,270.0,bottom
R45,150.1475,-104.11,180.0,bottom
R46,150.1475,-106.11,180.0,bottom
R47,142.56,-103.2225,90.0,bottom
R48,142.56,-107.1225,270.0,bottom
R49,108.56,-130.3975,270.0,bottom
R5,104.36,-107.71,0.0,bottom
R50,111.06,-130.3975,270.0,bottom
R51,113.56,-130.4225,270.0,bottom
R52,108.56,-123.9225,270.0,bottom
R53,113.56,-123.9225,270.0,bottom
R54,111.06,-123.9225,270.0,bottom
R55,108.0475,-79.46,0.0,bottom
R56,108.0475,-77.41,0.0,bottom
R57,116.06,-84.8225,90.0,bottom
R58,113.56,-84.8225,90.0,bottom
R59,111.06,-84.8225,90.0,bottom
R6,95.76,-64.3225,90.0,bottom
R60,148.56,-72.7475,90.0,bottom
R61,146.06,-72.7475,90.0,bottom
R62,146.06,-79.7475,90.0,bottom
R63,148.56,-79.7475,90.0,bottom
R64,114.06,-69.5225,90.0,bottom
R65,109.46,-69.51,90.0,bottom
R66,146.06,-86.7475,90.0,bottom
R67,148.56,-86.7475,90.0,bottom
R68,146.06,-93.5725,90.0,bottom
R69,148.56,-93.5725,90.0,bottom
R7,93.76,-72.2975,270.0,bottom
R70,151.06,-93.6225,90.0,bottom
R71,153.56,-93.6225,90.0,bottom
R72,142.56,-94.8975,90.0,bottom
R73,142.56,-99.3225,270.0,bottom
R74,88.0725,-107.31,0.0,bottom
R75,88.0725,-109.71,180.0,bottom
R76,88.0475,-104.91,0.0,bottom
R77,91.9475,-119.51,0.0,bottom
R78,99.16,-117.2225,270.0,bottom
R79,80.4725,-109.61,0.0,bottom
R8,93.76,-77.5975,90.0,bottom
R80,80.4475,-107.11,0.0,bottom
R81,88.76,-77.5975,90.0,bottom
