Designator,Mid X,Mid Y,Rotation,Layer
R35,127.65,-118.8375,270.0,bottom
R36,125.15,-118.8375,270.0,bottom
R37,159.0625,-118.85,180.0,bottom
R38,159.0625,-121.15,180.0,bottom
R39,159.0625,-123.45,180.0,bottom
R4,115.25,-100.3375,90.0,bottom
R40,159.0625,-125.75,180.0,bottom
R41,159.0625,-116.55,180.0,bottom
R42,159.0625,-114.25,180.0,bottom
R43,162.65,-100.9625,270.0,bottom
R44,165.15,-100.9625,270.0,bottom
R45,166.7375,-106.35,180.0,bottom
R46,166.7375,-108.35,180.0,bottom
R47,159.15,-105.4625,90.0,bottom
R48,159.15,-109.3625,270.0,bottom
R49,125.15,-132.6375,270.0,bottom
R5,120.95,-109.95,0.0,bottom
R50,127.65,-132.6375,270.0,bottom
R51,130.15,-132.6625,270.0,bottom
R52,125.15,-126.1625,270.0,bottom
R53,130.15,-126.1625,270.0,bottom
R54,127.65,-126.1625,270.0,bottom
R55,124.6375,-81.7,0.0,bottom
R56,124.6375,-79.65,0.0,bottom
R57,132.65,-87.0625,90.0,bottom
R58,130.15,-87.0625,90.0,bottom
R59,127.65,-87.0625,90.0,bottom
R6,112.35,-66.5625,90.0,bottom
R60,165.15,-74.9875,90.0,bottom
R61,162.65,-74.9875,90.0,bottom
R62,162.65,-81.9875,90.0,bottom
R63,165.15,-81.9875,90.0,bottom
R64,130.65,-71.7625,90.0,bottom
R65,126.05,-71.75,90.0,bottom
R66,162.65,-88.9875,90.0,bottom
R67,165.15,-88.9875,90.0,bottom
R68,162.65,-95.8125,90.0,bottom
R69,165.15,-95.8125,90.0,bottom
R7,110.35,-74.5375,270.0,bottom
R70,167.65,-95.8625,90.0,bottom
R71,170.15,-95.8625,90.0,bottom
R72,159.15,-97.1375,90.0,bottom
R73,159.15,-101.5625,270.0,bottom
R74,104.6625,-109.55,0.0,bottom
R75,104.6625,-111.95,180.0,bottom
R76,104.6375,-107.15,0.0,bottom
R77,108.5375,-121.75,0.0,bottom
R78,115.75,-119.4625,270.0,bottom
R79,97.0625,-111.85,0.0,bottom
R8,110.35,-79.8375,90.0,bottom
R80,97.0375,-109.35,0.0,bottom
R81,105.35,-79.8375,90.0,bottom
R82,104.1625,-72.85,180.0,bottom
R83,107.55,-79.8375,90.0,bottom
R84,97.0625,-78.65,0.0,bottom
R85,97.0625,-76.05,0.0,bottom
R86,102.75,-124.5375,90.0,bottom
R87,97.55,-124.5375,270.0,bottom
R88,115.25,-105.0625,270.0,bottom
R89,118.25,-105.0625,270.0,bottom
R9,112.55,-74.5375,90.0,bottom
R90,121.35,-105.0625,270.0,bottom
R91,114.95,-66.5625,90.0,bottom
R92,153.35,-112.7625,90.0,bottom
R93,120.05,-66.5625,90.0,bottom
R94,117.45,-66.5625,270.0,bottom
SW1,120.875,-94.4,0.0,top
SW2,99.65,-124.4,0.0,top
U1,140.1975,-102.65,180.0,top
U10,108.0125,-107.6375,180.0,top
U11,115.62415,-120.055,180.0,top
U12,106.2,-81.2875,90.0,top
U2,108.9,-74.100799,270.0,top
U3,117.78475,-74.4,0.0,top
U4,143.1,-80.512501,270.0,bottom
U5,140.55,-62.137499,90.0,bottom
U6,134.15,-109.2622,90.0,bottom
U7,146.305,-109.2622,270.0,bottom
U8,134.225,-97.2878,90.0,bottom
U9,146.305,-97.2878,270.0,bottom
Y1,153.4475,-100.9,90.0,top
